en,pt-BR
; (Range: 0 to 10), "; (Faixa: 0 a 10)"
Strongly disagree, "Discordo fortemente"
Disagree, "Discordo"
Neither agree nor disagree, "Nem concordo nem discordo"
Agree, "Concordo"
Strongly agree, "Concordo fortemente"
Yes, "Sim"
No, "Não"
Enter Project Name, "Digite o nome do projeto"
Project Name, "Nome do projeto"
Final Score, "Pontuação final"
Explanation, "Explicação"
The File has been saved, "O arquivo foi salvo"
Something went wrong, "Algo deu errado"
ERROR!, "ERRO!"
Save results, "Salvar resultados"
What it all means, "O que tudo isso significa"
"Any project can be developed in InnerSource style, but some projects are more suitable candidates than others. The 'fitness' of a project can be measured by assessing whether the project has the necessary qualities to attract enough developers to build a community around it, that the tools and processes allow for collaborative development, and that the project maintainers are ready to face the challenges of InnerSource style development. We label this as the Project-Process-People model. We suggest two sub-factors within each which overall provides six dimensions to measure the fitness of candidate projects. Further Reading: ...", "Qualquer projeto pode ser desenvolvido no estilo InnerSource, mas alguns projetos são candidatos mais adequados do que outros. A 'adequação' de um projeto pode ser medida avaliando se o projeto possui as qualidades necessárias para atrair desenvolvedores suficientes para construir uma comunidade em torno dele, se as ferramentas e processos permitem o desenvolvimento colaborativo e se os mantenedores do projeto estão prontos para enfrentar os desafios do desenvolvimento no estilo InnerSource. Nós rotulamos isso como o modelo Projeto-Processo-Pessoas. Sugerimos dois subfatores em cada um, que no total fornecem seis dimensões para medir a adequação dos projetos candidatos. Leituras adicionais: ..."：https://ieeexplore.ieee.org/document/6809709, https://innersourcecommons.org/checklist/"，
